id,asunto,cuerpo,es_spam
52,Información importante sobre tu seguro,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
53,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
54,Invitación a evento,Estos son los detalles de tu reserva para el evento del sábado...,0
55,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
56,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
57,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
58,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
59,Consulta de seguimiento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
60,Reunión de trabajo,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
61,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
62,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
63,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
64,Consulta de seguimiento,Aquí tienes el informe semanal de desempeño del equipo...,0
65,Recordatorio de cita médica,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
66,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
67,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
68,Reunión de trabajo,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
69,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
70,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
71,Consulta de seguimiento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
72,Reunión de trabajo,"Hola, te confirmo que la reunión será el próximo lunes...",0
73,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
74,Invitación a evento,Te recordamos que tienes una cita médica programada para el martes...,0
75,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
76,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
77,Informe semanal de desempeño,Aquí tienes el informe semanal de desempeño del equipo...,0
78,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
79,Reunión de trabajo,"Por favor, revisa la actualización de nuestra política de privacidad...",0
80,Recordatorio de cita médica,Te recordamos que tienes una cita médica programada para el martes...,0
81,Informe semanal de desempeño,Estás invitado a nuestro evento de networking el próximo viernes...,0
82,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
83,Información importante sobre tu seguro,Te recordamos que tienes una cita médica programada para el martes...,0
84,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
85,Resumen de cuenta mensual,Te recordamos que tienes una cita médica programada para el martes...,0
86,Recordatorio de cita médica,Aquí tienes el informe semanal de desempeño del equipo...,0
87,Actualización de política de privacidad,"Hola, te confirmo que la reunión será el próximo lunes...",0
88,Actualización de política de privacidad,"Por favor, revisa la actualización de nuestra política de privacidad...",0
89,Confirmación de tu pedido,Aquí tienes el informe semanal de desempeño del equipo...,0
90,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
91,Reunión de trabajo,"Hola, te confirmo que la reunión será el próximo lunes...",0
92,Actualización de política de privacidad,Estás invitado a nuestro evento de networking el próximo viernes...,0
93,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
94,Consulta de seguimiento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
95,Actualización de política de privacidad,Aquí tienes el informe semanal de desempeño del equipo...,0
96,Informe semanal de desempeño,Aquí tienes el informe semanal de desempeño del equipo...,0
97,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
98,Consulta de seguimiento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
99,Consulta de seguimiento,"Hola, te confirmo que la reunión será el próximo lunes...",0
100,Informe semanal de desempeño,"Hola, te confirmo que la reunión será el próximo lunes...",0
101,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
102,Consulta de seguimiento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
103,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
104,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
105,Reunión de trabajo,Estás invitado a nuestro evento de networking el próximo viernes...,0
106,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
107,Informe semanal de desempeño,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
108,Informe semanal de desempeño,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
109,Información importante sobre tu seguro,"Por favor, revisa la actualización de nuestra política de privacidad...",0
110,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
111,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
112,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
113,Resumen de cuenta mensual,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
114,Confirmación de tu pedido,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
115,Reunión de trabajo,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
116,Recordatorio de cita médica,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
117,Invitación a evento,"Hola, te confirmo que la reunión será el próximo lunes...",0
118,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
119,Información importante sobre tu seguro,Aquí tienes el informe semanal de desempeño del equipo...,0
120,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
121,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
122,Confirmación de tu pedido,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
123,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
124,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
125,Invitación a evento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
126,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
127,Invitación a evento,Aquí tienes el informe semanal de desempeño del equipo...,0
128,Informe semanal de desempeño,"Hola, te confirmo que la reunión será el próximo lunes...",0
129,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
130,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
131,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
132,Invitación a evento,"Hola, te confirmo que la reunión será el próximo lunes...",0
133,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
134,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
135,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
136,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
137,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
138,Reunión de trabajo,Estás invitado a nuestro evento de networking el próximo viernes...,0
139,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
140,Consulta de seguimiento,Estás invitado a nuestro evento de networking el próximo viernes...,0
141,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
142,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
143,Resumen de cuenta mensual,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
144,Informe semanal de desempeño,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
145,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
146,Invitación a evento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
147,Detalles de tu reserva,Aquí tienes el informe semanal de desempeño del equipo...,0
148,Recordatorio de cita médica,Estás invitado a nuestro evento de networking el próximo viernes...,0
149,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
150,Informe semanal de desempeño,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
151,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
152,Confirmación de tu pedido,Te recordamos que tienes una cita médica programada para el martes...,0
153,Resumen de cuenta mensual,Aquí tienes el informe semanal de desempeño del equipo...,0
154,Resumen de cuenta mensual,Te recordamos que tienes una cita médica programada para el martes...,0
155,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
156,Información importante sobre tu seguro,"Hola, te confirmo que la reunión será el próximo lunes...",0
157,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
158,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
159,Consulta de seguimiento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
160,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
161,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
162,Reunión de trabajo,Estás invitado a nuestro evento de networking el próximo viernes...,0
163,Resumen de cuenta mensual,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
164,Recordatorio de cita médica,"Por favor, revisa la actualización de nuestra política de privacidad...",0
165,Recordatorio de cita médica,Estás invitado a nuestro evento de networking el próximo viernes...,0
166,Resumen de cuenta mensual,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
167,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
168,Recordatorio de cita médica,Estos son los detalles de tu reserva para el evento del sábado...,0
169,Invitación a evento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
170,Confirmación de tu pedido,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
171,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
172,Confirmación de tu pedido,Estás invitado a nuestro evento de networking el próximo viernes...,0
173,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
174,Informe semanal de desempeño,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
175,Detalles de tu reserva,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
176,Reunión de trabajo,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
177,Actualización de política de privacidad,Estás invitado a nuestro evento de networking el próximo viernes...,0
178,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
179,Invitación a evento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
180,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
181,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
182,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
183,Confirmación de tu pedido,Aquí tienes el informe semanal de desempeño del equipo...,0
184,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
185,Actualización de política de privacidad,Te recordamos que tienes una cita médica programada para el martes...,0
186,Consulta de seguimiento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
187,Consulta de seguimiento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
188,Informe semanal de desempeño,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
189,Consulta de seguimiento,Estás invitado a nuestro evento de networking el próximo viernes...,0
190,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
191,Confirmación de tu pedido,Te recordamos que tienes una cita médica programada para el martes...,0
192,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
193,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
194,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
195,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
196,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
197,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
198,Actualización de política de privacidad,"Por favor, revisa la actualización de nuestra política de privacidad...",0
199,Consulta de seguimiento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
200,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
201,Invitación a evento,Aquí tienes el informe semanal de desempeño del equipo...,0
202,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
203,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
204,Resumen de cuenta mensual,Aquí tienes el informe semanal de desempeño del equipo...,0
205,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
206,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
207,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
208,Recordatorio de cita médica,"Por favor, revisa la actualización de nuestra política de privacidad...",0
209,Actualización de política de privacidad,"Hola, te confirmo que la reunión será el próximo lunes...",0
210,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
211,Informe semanal de desempeño,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
212,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
213,Resumen de cuenta mensual,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
214,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
215,Resumen de cuenta mensual,Aquí tienes el informe semanal de desempeño del equipo...,0
216,Consulta de seguimiento,Estos son los detalles de tu reserva para el evento del sábado...,0
217,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
218,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
219,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
220,Invitación a evento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
221,Informe semanal de desempeño,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
222,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
223,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
224,Resumen de cuenta mensual,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
225,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
226,Informe semanal de desempeño,Estás invitado a nuestro evento de networking el próximo viernes...,0
227,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
228,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
229,Información importante sobre tu seguro,"Hola, te confirmo que la reunión será el próximo lunes...",0
230,Recordatorio de cita médica,Estos son los detalles de tu reserva para el evento del sábado...,0
231,Detalles de tu reserva,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
232,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
233,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
234,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
235,Informe semanal de desempeño,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
236,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
237,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
238,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
239,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
240,Invitación a evento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
241,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
242,Actualización de política de privacidad,Aquí tienes el informe semanal de desempeño del equipo...,0
243,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
244,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
245,Confirmación de tu pedido,Aquí tienes el informe semanal de desempeño del equipo...,0
246,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
247,Actualización de política de privacidad,"Hola, te confirmo que la reunión será el próximo lunes...",0
248,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
249,Recordatorio de cita médica,Te recordamos que tienes una cita médica programada para el martes...,0
250,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
251,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
252,Información importante sobre tu seguro,"Hola, te confirmo que la reunión será el próximo lunes...",0
253,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
254,Detalles de tu reserva,Aquí tienes el informe semanal de desempeño del equipo...,0
255,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
256,Informe semanal de desempeño,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
257,Recordatorio de cita médica,Te recordamos que tienes una cita médica programada para el martes...,0
258,Información importante sobre tu seguro,"Hola, te confirmo que la reunión será el próximo lunes...",0
259,Reunión de trabajo,Estás invitado a nuestro evento de networking el próximo viernes...,0
260,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
261,Resumen de cuenta mensual,Te recordamos que tienes una cita médica programada para el martes...,0
262,Invitación a evento,"Hola, te confirmo que la reunión será el próximo lunes...",0
263,Invitación a evento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
264,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
265,Invitación a evento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
266,Resumen de cuenta mensual,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
267,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
268,Reunión de trabajo,"Por favor, revisa la actualización de nuestra política de privacidad...",0
269,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
270,Informe semanal de desempeño,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
271,Reunión de trabajo,"Por favor, revisa la actualización de nuestra política de privacidad...",0
272,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
273,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
274,Consulta de seguimiento,"Hola, te confirmo que la reunión será el próximo lunes...",0
275,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
276,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
277,Informe semanal de desempeño,Estás invitado a nuestro evento de networking el próximo viernes...,0
278,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
279,Actualización de política de privacidad,Te recordamos que tienes una cita médica programada para el martes...,0
280,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
281,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
282,Informe semanal de desempeño,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
283,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
284,Actualización de política de privacidad,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
285,Actualización de política de privacidad,"Hola, te confirmo que la reunión será el próximo lunes...",0
286,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
287,Consulta de seguimiento,Aquí tienes el informe semanal de desempeño del equipo...,0
288,Resumen de cuenta mensual,Estos son los detalles de tu reserva para el evento del sábado...,0
289,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
290,Actualización de política de privacidad,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
291,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
292,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
293,Invitación a evento,Estás invitado a nuestro evento de networking el próximo viernes...,0
294,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
295,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
296,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
297,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
298,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
299,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
300,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
301,Confirmación de tu pedido,"Hola, te confirmo que la reunión será el próximo lunes...",0
302,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
303,Detalles de tu reserva,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
304,Invitación a evento,Estás invitado a nuestro evento de networking el próximo viernes...,0
305,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
306,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
307,Resumen de cuenta mensual,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
308,Informe semanal de desempeño,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
309,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
310,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
311,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
312,Confirmación de tu pedido,Te recordamos que tienes una cita médica programada para el martes...,0
313,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
314,Detalles de tu reserva,Estos son los detalles de tu reserva para el evento del sábado...,0
315,Información importante sobre tu seguro,Estos son los detalles de tu reserva para el evento del sábado...,0
316,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
317,Detalles de tu reserva,Estos son los detalles de tu reserva para el evento del sábado...,0
318,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
319,Informe semanal de desempeño,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
320,Invitación a evento,Aquí tienes el informe semanal de desempeño del equipo...,0
321,Actualización de política de privacidad,"Por favor, revisa la actualización de nuestra política de privacidad...",0
322,Confirmación de tu pedido,"Hola, te confirmo que la reunión será el próximo lunes...",0
323,Confirmación de tu pedido,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
324,Información importante sobre tu seguro,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
325,Detalles de tu reserva,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
326,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
327,Reunión de trabajo,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
328,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
329,Confirmación de tu pedido,"Hola, te confirmo que la reunión será el próximo lunes...",0
330,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
331,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
